time.yy;time.mm;time.dd;time.hh;tre200h0;gls;str.diffus;ground_temp
2021;8;23;23;17.1;2;1;5
2021;8;24;0;16.7;2;1;5
2021;8;24;1;16.4;2;1;5
2021;8;24;2;16.2;2;1;5
2021;8;24;3;15.9;2;1;5
2021;8;24;4;15.7;2;1;5
2021;8;24;5;15.7;5;4;5
2021;8;24;6;15.8;51;37;5
2021;8;24;7;16.5;228;81;5
2021;8;24;8;17.2;399;102;5
2021;8;24;9;18.1;554;124;5
2021;8;24;10;19.4;685;142;5
2021;8;24;11;20.5;785;171;5
2021;8;24;12;21.1;798;156;5
2021;8;24;13;21.7;777;142;5
2021;8;24;14;21.8;706;137;5
2021;8;24;15;21.7;594;128;5
2021;8;24;16;21.1;442;105;5
2021;8;24;17;19.7;268;87;5
2021;8;24;18;18.3;102;50;5
2021;8;24;19;17.5;10;9;5
2021;8;24;20;17.3;2;1;5
2021;8;24;21;17.2;2;1;5
2021;8;24;22;17.1;2;1;5
2021;8;24;23;16.4;3;1;5
2021;8;25;0;16.2;2;1;5
2021;8;25;1;16;2;1;5
2021;8;25;2;15.5;2;1;5
2021;8;25;3;14.8;2;1;5
2021;8;25;4;14.7;2;1;5
2021;8;25;5;15.1;3;2;5
2021;8;25;6;15.3;15;14;5
2021;8;25;7;15.5;45;43;5
2021;8;25;8;16;81;80;5
2021;8;25;9;16.6;147;146;5
2021;8;25;10;17.6;264;261;5
2021;8;25;11;18.2;430;415;5
2021;8;25;12;18.4;485;457;5
2021;8;25;13;19.3;668;389;5
2021;8;25;14;20.1;744;304;5
2021;8;25;15;20.4;471;264;5
2021;8;25;16;20.6;304;138;5
2021;8;25;17;20.3;178;68;5
2021;8;25;18;19.5;90;40;5
2021;8;25;19;18;8;7;5
2021;8;25;20;17.3;2;1;5
2021;8;25;21;16.8;2;1;5
2021;8;25;22;16.3;2;1;5
2021;8;25;23;15.8;2;1;5
2021;8;26;0;15.2;3;1;5
2021;8;26;1;14.6;2;1;5
2021;8;26;2;14.4;2;1;5
2021;8;26;3;14.1;2;1;5
2021;8;26;4;14.1;2;1;5
2021;8;26;5;14.5;3;2;5
2021;8;26;6;15.6;41;34;5
2021;8;26;7;16.6;133;122;5
2021;8;26;8;17;270;220;5
2021;8;26;9;17.7;554;114;5
2021;8;26;10;18.5;680;102;5
2021;8;26;11;19.6;765;112;5
2021;8;26;12;21.4;794;96;5
2021;8;26;13;21.4;770;99;5
2021;8;26;14;22.7;691;105;5
2021;8;26;15;23.7;580;117;5
2021;8;26;16;24.2;452;134;5
2021;8;26;17;22.7;197;152;5
2021;8;26;18;20.7;36;32;5
2021;8;26;19;19.8;6;4;5
2021;8;26;20;19;2;1;5
2021;8;26;21;18.4;2;1;5
2021;8;26;22;18;2;1;5
2021;8;26;23;17;3;1;5
2021;8;27;0;16.5;2;1;5
2021;8;27;1;15.7;3;1;5
2021;8;27;2;15.3;2;1;5
2021;8;27;3;15.2;2;1;5
2021;8;27;4;15.1;2;1;5
2021;8;27;5;15;3;2;5
2021;8;27;6;15.1;27;26;5
2021;8;27;7;15.4;135;97;5
2021;8;27;8;16.5;347;221;5
2021;8;27;9;17.9;659;283;5
2021;8;27;10;18.9;684;182;5
2021;8;27;11;19.9;752;207;5
2021;8;27;12;20.4;681;244;5
2021;8;27;13;20.2;379;200;5
2021;8;27;14;20.8;488;153;5
2021;8;27;15;20.9;376;139;5
2021;8;27;16;21.3;467;112;5
2021;8;27;17;20.1;166;131;5
2021;8;27;18;19.7;125;75;5
2021;8;27;19;17.9;9;7;5
2021;8;27;20;16.7;3;1;5
2021;8;27;21;16;2;1;5
2021;8;27;22;15.4;2;1;5
2021;8;27;23;15.3;2;1;5
2021;8;28;0;14.9;2;1;5
2021;8;28;1;14.9;2;1;5
2021;8;28;2;14.4;2;1;5
2021;8;28;3;14;2;1;5
2021;8;28;4;13.5;2;1;5
2021;8;28;5;13.3;4;3;5
2021;8;28;6;13.1;51;21;5
2021;8;28;7;14.5;231;44;5
2021;8;28;8;15.9;409;57;5
2021;8;28;9;17.2;566;71;5
2021;8;28;10;18.3;705;89;5
2021;8;28;11;19.3;785;98;5
2021;8;28;12;20.2;808;82;5
2021;8;28;13;20.8;742;95;5
2021;8;28;14;20.7;403;116;5
2021;8;28;15;21;549;100;5
2021;8;28;16;20.7;368;86;5
2021;8;28;17;19.8;226;68;5
2021;8;28;18;18.4;53;44;5
2021;8;28;19;17.1;7;6;5
2021;8;28;20;16.3;3;1;5
2021;8;28;21;15.6;3;1;5
2021;8;28;22;15;2;1;5
2021;8;28;23;14.9;2;1;5
2021;8;29;0;14.8;2;1;5
2021;8;29;1;14.5;2;1;5
2021;8;29;2;14.2;2;1;5
2021;8;29;3;14.2;2;1;5
2021;8;29;4;13.8;3;1;5
2021;8;29;5;12.7;4;2;5
2021;8;29;6;13.3;49;20;5
2021;8;29;7;15;219;41;5
2021;8;29;8;16.6;397;59;5
2021;8;29;9;17.5;401;112;5
2021;8;29;10;17.9;737;147;5
2021;8;29;11;18.7;807;136;5
2021;8;29;12;19.6;834;210;5
2021;8;29;13;20.6;679;203;5
2021;8;29;14;21.4;628;94;5
2021;8;29;15;21.3;578;82;5
2021;8;29;16;20.5;419;64;5
2021;8;29;17;19.7;246;51;5
2021;8;29;18;18.3;76;31;5
2021;8;29;19;16.9;6;4;5
2021;8;29;20;15.9;2;1;5
2021;8;29;21;15.3;2;1;5
2021;8;29;22;15;2;1;5
2021;8;29;23;14.8;2;1;5
